Iteration,Average Distance
0,9.567770258459923
1,9.440892301896302
2,9.314105744982655
3,9.18755081685703
4,9.06117606363409
5,8.934959213405968
6,8.808892342674222
7,8.682974755576483
8,8.557209543241575
9,8.431601930932679
10,8.306158504638013
11,8.180886876969922
12,8.055795579489404
13,7.9310024685730935
14,7.80661431704541
15,7.682492165526916
16,7.558613634298446
17,7.434985774865796
18,7.311603122002225
19,7.188571221486232
20,7.066163746066199
21,6.944615229981644
22,6.825560182106784
23,6.709567775932004
24,6.593359178490307
25,6.4800502947921075
26,6.367007327004261
27,6.25492374472788
28,6.14304802659827
29,6.031393289673105
30,5.9196160377677
31,5.807681286898
32,5.695856839999072
33,5.5868844984401465
34,5.480266138350037
35,5.37508531540627
36,5.269011739022319
37,5.161704600080974
38,5.061739188418094
39,4.966539078230182
40,4.8729765134292515
41,4.783492781609252
42,4.698093771067893
43,4.618899791147901
44,4.5440696311926425
45,4.471814498637296
46,4.400931162334382
47,4.334211298182846
48,4.2688508845388595
49,4.204387916735977
50,4.140673432067878
51,4.076442163682511
52,4.012907724280899
53,3.952250830483181
54,3.892764012033496
55,3.8341460521750204
56,3.776520252872413
57,3.7194762948223943
58,3.662412322222791
59,3.6050746078605482
60,3.5507096087275327
61,3.4986354650458247
62,3.4496576535747514
63,3.400804259682614
64,3.3519450094311285
65,3.3052146061784637
66,3.2639287934293377
67,3.2263409486671817
68,3.19572251989369
69,3.1678973022771793
70,3.145755528059135
71,3.12704954296375
72,3.1069600005771223
73,3.091216449266329
74,3.0789322554780867
75,3.0677631654553243
76,3.0561202968810552
77,3.048312216820033
78,3.0419077915706194
79,3.036776679217835
80,3.033113383662705
81,3.0313484584391936
82,3.03020149537662
83,3.0293133559431555
84,3.028443172854331
85,3.0275790611267523
86,3.026715402902645
87,3.025856091494938
88,3.0250090121443414
89,3.0241801592202746
90,3.0233727673601707
91,3.0225879613765456
92,3.021825399406694
93,3.021083789247596
94,3.0203612928588157
95,3.019655809552636
96,3.0189651612581616
97,3.0182872095071818
98,3.01761992607783
99,3.016961432540909
