Iteration,Average Distance
0,10.148105861406535
1,10.016208026893805
2,9.886923814070434
3,9.759991954121515
4,9.634595324639303
5,9.51016053382212
6,9.386358319174303
7,9.263018578796867
8,9.140061305559922
9,9.017485587063758
10,8.898314411679575
11,8.778659730197344
12,8.657630551595087
13,8.53905390315647
14,8.417630879234467
15,8.300317926770084
16,8.181242499786546
17,8.065292516801476
18,7.947801270667201
19,7.8327026518641825
20,7.717250524460008
21,7.603547781601298
22,7.49144473149795
23,7.378576443950088
24,7.267445745403362
25,7.155400615598696
26,7.045431501716377
27,6.9349011191763115
28,6.825681410498986
29,6.715398736658555
30,6.6067482925427035
31,6.496981350463815
32,6.38807327861639
33,6.2786091644447355
34,6.169442074990673
35,6.060478530906132
36,5.951423210698206
37,5.842533427642005
38,5.7335534487896975
39,5.626127492083856
40,5.517559056188644
41,5.41238217060572
42,5.3097105943347875
43,5.20862412444817
44,5.109743186942985
45,5.011507910710951
46,4.914844515673813
47,4.819771299275525
48,4.726323410137548
49,4.633839008808109
50,4.542142022992205
51,4.450931604094362
52,4.360569612829593
53,4.2711718481211856
54,4.189527442477247
55,4.111642693914621
56,4.035714962503458
57,3.961650814231209
58,3.8926351940309107
59,3.829505588970765
60,3.7701723443920825
61,3.7132738080941117
62,3.658021617966936
63,3.6033412503106605
64,3.552178272464359
65,3.502803669528059
66,3.45485802774932
67,3.408206788942574
68,3.3624747774096835
69,3.316982954927746
70,3.2751678122362855
71,3.236325508961588
72,3.2027302409842915
73,3.1695654555054538
74,3.141639999028695
75,3.1141211078522724
76,3.0909200600442612
77,3.0745630634315813
78,3.062835486634859
79,3.054080602042515
80,3.047132485063316
81,3.041286966347776
82,3.036096581738836
83,3.03074490437741
84,3.0272877853200377
85,3.024843675824567
86,3.0230628751288076
87,3.0216291886641593
88,3.0203647872256014
89,3.019150823757692
90,3.017908450734868
91,3.0165809218621518
92,3.0151216224373734
93,3.013485327899222
94,3.0121209756324734
95,3.0105075322713675
96,3.0085386007420993
97,3.0061123757328665
98,3.003409031745539
99,3.0015071116650427
