Iteration,Average Distance
0,10.451338247240374
1,10.333426316885973
2,10.200608219273489
3,10.06418349302685
4,9.930181072726999
5,9.79842380939682
6,9.667533913671962
7,9.53709141545722
8,9.406906315147781
9,9.276893119981512
10,9.147015445210393
11,9.017260143369139
12,8.887625213680492
13,8.758114169387232
14,8.62873342988622
15,8.49949112774438
16,8.370396576349865
17,8.241460045235549
18,8.112692677988292
19,7.9841064753946585
20,7.855714307274779
21,7.727529935274747
22,7.599568037409004
23,7.472388811004871
24,7.347123071815008
25,7.222610181514238
26,7.098553513251827
27,6.974898860305406
28,6.851650856131874
29,6.73115712091434
30,6.613674359075692
31,6.498178671334433
32,6.383805751616027
33,6.271870905888824
34,6.1611181524373135
35,6.051864470549913
36,5.9427349019637585
37,5.8337560568560765
38,5.724902522395935
39,5.6229673712049175
40,5.53061496040781
41,5.453028222770719
42,5.384866450718647
43,5.322641371883395
44,5.26737613424315
45,5.216130688877228
46,5.166729501673111
47,5.1192665672369575
48,5.081312169621892
49,5.048185720259734
50,5.017312215723136
51,4.98965378090878
52,4.967587161322959
53,4.948439014591369
54,4.9319763119785955
55,4.917512918235545
56,4.907622026817799
57,4.897767440923473
58,4.88814663740399
59,4.877727174338644
60,4.869184680201349
61,4.860136542311703
62,4.854888254082816
63,4.851456985156008
64,4.849945777082818
65,4.848203988140904
66,4.847372577437882
67,4.84617136934332
68,4.8455503577008185
69,4.844699938260723
70,4.844198915890502
71,4.843598123014058
72,4.843190764802158
73,4.84275780227082
74,4.842428147546672
75,4.8421049554546505
76,4.8418382415654975
77,4.84158779454094
78,4.841370535037234
79,4.841170130893117
80,4.840991152078923
81,4.840826770022338
82,4.84067749537993
83,4.840540217041478
84,4.84041436205676
85,4.8402983235193755
86,4.840191394235731
87,4.840092635337574
88,4.840001455190116
89,4.839917255455085
90,4.839839593970941
91,4.8397680724125625
92,4.839702377070145
93,4.839642240968881
94,4.839587450975476
95,4.839537833330342
96,4.83949325255665
97,4.839453604881474
98,4.8394188158426354
99,4.839388836760241
100,4.839363642679309
101,4.8393432302670405
102,4.839327616333856
103,4.8393168365281465
104,4.839310944356698
105,4.839310010383656
106,4.839314121628539
107,4.839323381106082
108,4.8393379074988125
109,4.839357834934395
110,4.83938331285454
111,4.839414505958429
112,4.839451594208608
113,4.83949477288702
114,4.839544252690581
115,4.839600259855917
116,4.839663036303332
117,4.839732839790016
118,4.83980994406222
119,4.839894638995563
120,4.839987230711851
121,4.840088041659618
122,4.840197410644229
123,4.840315692791689
124,4.8404432594280955
125,4.840580497854357
126,4.840727810992735
127,4.840885616878418
128,4.841054347965279
129,4.841234450210398
130,4.841426381896377
131,4.841630612144361
132,4.841847619063239
133,4.8420778874721995
134,4.842321906123946
135,4.842580164344626
136,4.842853147993408
137,4.843141334629504
138,4.84344518775689
139,4.843765149996733
140,4.84410163501408
141,4.844455017998388
142,4.844825624466271
143,4.845213717119113
144,4.845619480447214
145,4.846043002725678
146,4.846484254995067
147,4.84694306656263
148,4.8474190965003014
149,4.847911800560423
150,4.848420392898928
151,4.848943802044366
152,4.84948062087223
153,4.850029051844071
154,4.850586867355632
155,4.835456618626781
156,4.849382889617101
157,4.844834106910278
158,4.850134550982863
159,4.837351959899419
160,4.8519027423036265
161,4.837021685151393
162,4.8514845390220005
163,4.836409495296946
164,4.851497875195914
165,4.836274602786429
166,4.852459882718873
167,4.836366160450676
168,4.853278612869708
169,4.8364348964153
170,4.853786752923154
171,4.836401372709151
172,4.854086967151953
173,4.836333331493592
174,4.854290772430894
175,4.836264031717864
176,4.854457033897427
177,4.836208344008619
178,4.854607971598726
179,4.836172338826931
180,4.854736225222179
181,4.83615257611564
182,4.8548457467075545
183,4.8361457326487445
184,4.854939824898635
185,4.8361501649167735
186,4.855020626790613
187,4.836164982845655
188,4.855089513873837
189,4.836189781443637
190,4.855147331746064
191,4.83622450298781
192,4.855194565408468
193,4.836269338599654
194,4.855231409412882
195,4.836324652637919
196,4.855257798301845
197,4.836390924750747
198,4.855273424397666
199,4.836468704281978
200,4.855277757728273
