Iteration,Average Distance
0,9.030992018638676
1,8.912920982278488
2,8.790206034047563
3,8.667152341388944
4,8.544892359483333
5,8.423401676490355
6,8.302570348114745
7,8.182192393587423
8,8.062149280464366
9,7.943440618708034
10,7.825373262890613
11,7.708244162255967
12,7.592085666594217
13,7.476931194991025
14,7.362424834685312
15,7.248241651192823
16,7.134089080594025
17,7.019709043950156
18,6.904935033186881
19,6.789780477639129
20,6.674509407636419
21,6.556703852071947
22,6.441536774062012
23,6.327791680291607
24,6.215927346164439
25,6.10385347161374
26,5.9929376907825045
27,5.884071115214456
28,5.7767622782527415
29,5.671499873719502
30,5.567150192886892
31,5.462897277041862
32,5.359262389401057
33,5.256567519656577
34,5.157884822973307
35,5.063014743364799
36,4.972354023134078
37,4.883986721619245
38,4.796565438821044
39,4.712462475880167
40,4.629849408805983
41,4.550242690199817
42,4.472842986071993
43,4.397670172237575
44,4.32661602486168
45,4.257696877111683
46,4.1898806906899475
47,4.1226511535360615
48,4.055754079825369
49,3.98912924122934
50,3.92249596134973
51,3.857317807085118
52,3.794277697283354
53,3.7325288874650995
54,3.6714235583638617
55,3.6124961372268984
56,3.5552619997777493
57,3.5016884618457444
58,3.451103497757756
59,3.406146300468749
60,3.364978309633806
61,3.324377432329147
62,3.2848370735562424
63,3.25785884858047
64,3.2304602203003907
65,3.2111452414380444
66,3.1891205496538677
67,3.171230001508216
68,3.1501070480440236
69,3.1349867039475696
70,3.1178678738563494
71,3.104932458030849
72,3.092305341687519
73,3.0861200600459284
74,3.077255619748001
75,3.072801061560973
76,3.066343319086216
77,3.0618069041172324
78,3.0560307336838233
79,3.0512246306993025
80,3.045695120837806
81,3.039344139532489
82,3.031204823914849
83,3.0194204482416644
84,3.0100509543102767
85,3.0010205910264296
86,2.9928686476800253
87,2.9852810706297563
88,2.978981011257342
89,2.974407479283689
90,2.971224369762223
91,2.9689157554420045
92,2.968370818296726
93,2.9683638848891176
94,2.9685475066245237
95,2.968635965216791
96,2.968491751088688
97,2.9679982193467564
98,2.9670462099185437
99,2.9655311493645455
