Iteration,Average Distance
0,10.735716572913011
1,10.614368515889801
2,10.49028067180508
3,10.365197414949797
4,10.239902843552247
5,10.114812269801606
6,9.989918150378074
7,9.865215041362513
8,9.740704629455985
9,9.616396340578694
10,9.492308341074878
11,9.368470213898979
12,9.244928844080345
13,9.121758810088583
14,8.999060290124643
15,8.876843422643926
16,8.754920875444297
17,8.633138620999297
18,8.511453322808174
19,8.38985966319278
20,8.268360116825296
21,8.146959984442665
22,8.025665984156886
23,7.904725045193568
24,7.784911737504358
25,7.665989215341149
26,7.548321844962554
27,7.430003819894089
28,7.312818842100239
29,7.194688540989525
30,7.077772192778256
31,6.959819675129345
32,6.8433628338428205
33,6.7254051692571535
34,6.611587072285809
35,6.495378638385972
36,6.382025065095659
37,6.269581709174355
38,6.158883085629912
39,6.047430243053833
40,5.940288692273275
41,5.833938212902351
42,5.733484521114378
43,5.6337887795931545
44,5.536355478126976
45,5.438396662925577
46,5.342285481256278
47,5.246002671092286
48,5.150288846357342
49,5.0561119007874
50,4.962130105523803
51,4.869127820672764
52,4.7774376444649045
53,4.688456167996469
54,4.601001028019511
55,4.513769618447832
56,4.427371255091096
57,4.3421017387940966
58,4.256207073968237
59,4.172036120462357
60,4.090290212334801
61,4.01020812976124
62,3.9321460079832917
63,3.8557242023621434
64,3.7808512287551546
65,3.7104200386670154
66,3.641092743163213
67,3.5734408349586375
68,3.5088360544191324
69,3.4473427781723736
70,3.389210921874785
71,3.335722646644824
72,3.286796273009255
73,3.2398166426507875
74,3.2016594240606646
75,3.165128259956398
76,3.130894762911888
77,3.103516179356582
78,3.0802098392388286
79,3.062496279001376
80,3.049386419451958
81,3.0400050035242994
82,3.032715871542956
83,3.026476484233297
84,3.0210689218513807
85,3.015820419274033
86,3.010200079208801
87,3.0047271007213143
88,3.001190161078765
89,2.9987835714361344
90,2.9966406482942674
91,2.9941974301554097
92,2.9911329865952894
93,2.986664425014383
94,2.9809113271778642
95,2.9762007261165033
96,2.972290852095538
97,2.9697535769189676
98,2.968184079505539
99,2.967034489654745
