Iteration,Average Distance
0,10.79907979204571
1,10.672967587874268
2,10.547728814789776
3,10.423002058476797
4,10.29861302326413
5,10.174478806070464
6,10.050561884960473
7,9.926847632646421
8,9.803333289595656
9,9.680022637440935
10,9.556923600811976
11,9.43453858398361
12,9.313211649607338
13,9.192270457742165
14,9.07161436447409
15,8.951230378145379
16,8.831473904020958
17,8.712923231660579
18,8.595611470159026
19,8.478424946574615
20,8.361358057446006
21,8.244416154034003
22,8.127616047428228
23,8.011172047075164
24,7.895212635605475
25,7.779834443210222
26,7.664891456589768
27,7.5502165349484205
28,7.435753643498499
29,7.321341237274512
30,7.207058136899918
31,7.092944011295233
32,6.979018733614184
33,6.865292340449559
34,6.751770128590928
35,6.638455291695441
36,6.525350326509931
37,6.412457825313411
38,6.299705440267845
39,6.186615083333714
40,6.073886401173588
41,5.962742008607765
42,5.852549597130817
43,5.742826746578372
44,5.635030270545598
45,5.5282266290566175
46,5.423847111229527
47,5.322004447296732
48,5.221360320718508
49,5.126091029746132
50,5.035772291077782
51,4.948466113122263
52,4.8628852312643795
53,4.779360259571105
54,4.698384410063374
55,4.618447635086698
56,4.5411718273501
57,4.466818640230965
58,4.394340045679891
59,4.32438946835153
60,4.256826033932946
61,4.1905212142128105
62,4.126071663834141
63,4.062820510608791
64,4.000305175921884
65,3.9387941653949663
66,3.8782152235718574
67,3.8186147229567498
68,3.7586372536918087
69,3.7002380373480945
70,3.6438107872732943
71,3.588832619536173
72,3.5344744436165803
73,3.483363613415809
74,3.437303475148934
75,3.3946637111287283
76,3.3533364484037635
77,3.313548730470594
78,3.2741039342443328
79,3.241359785383806
80,3.2130220527900577
81,3.1867730350592764
82,3.1623693570904217
83,3.141058668225373
84,3.1235113913856853
85,3.1069347670774303
86,3.091677376799366
87,3.0813676046819016
88,3.0746954833397
89,3.0703295422888752
90,3.06746802061169
91,3.0655767224422776
92,3.0642631992235994
93,3.063208175965847
94,3.06212150617511
95,3.060713656692094
96,3.0586779523696435
97,3.057375622112947
98,3.0542044561788413
99,3.0505939681976986
